10 513.62 0 1680 1 1680
29.55 50.16 27.21 62.04 25.1 31.56 46.02 51.71 62.98 94.19 
28.73 17.69 19.45 34.34 60.99 84.08 43.08 50.96 85.37 35.74 
3 5 3 6 3 3 5 5 6 9 
1 2 3 4 5 6 7 8 9 10 
1 2 1 2 1 1 2 2 2 1 
3 1 3 3 3 3 1 1 3 2 
1 6 10 1 2 6 4 4 3 7 
4307.99 3717.35 4808.58 4338.06 3829.85 3891.24 4090.83 4154.57 4423.14 3439.6 
0.51 0.37 0.68 0.95 0.48 0.69 0.69 0.42 0.09 0.49 
0.7 0.87 0.69 0.51 0.66 0.81 0.68 0.81 0.77 0.92 
0.5 0.87 1.0 0.52 0.89 0.92 0.78 0.62 0.59 0.92 
0.81 0.81 0.74 0.92 0.67 0.55 0.86 0.68 0.75 1.0 
0.84 0.97 0.67 1.0 0.57 0.95 0.74 0.79 0.54 0.52 
0.52 0.6 0.99 0.71 0.89 0.69 1.0 0.97 0.81 0.97 
0.13 0.36 0.34 0.18 0.2 0.27 0.34 0.26 0.15 0.43 
1187.15 981.42 1139.12 1879.22 1389.23 1846.78 732.6 801.03 1494.0 1445.51 
144.45 311.33 330.19 284.11 246.1 582.62 259.0 241.69 196.38 635.24 
5435.73 4407.11 5195.61 8896.1 6446.15 8733.91 3163.0 3505.15 6970.0 6727.53 
222.27 1056.65 1150.93 920.56 730.52 2413.09 795.02 708.47 481.89 2676.2 
86.16 111.52 96.17 130.14 76.6 77.82 122.72 124.64 132.69 68.79 
86 148 96 173 76 77 163 166 176 68 
1058 276 1401 2 1292 1222 972 237 1644 242 
1604 822 1680 1304 1680 1680 1680 1161 1680 788 
2
0.0 0.0 
0.0 0.0 
0 0 41 53 33 70 65 89 63 72 106 100 
0 0 41 53 33 70 65 89 63 72 106 100 
41 41 0 23 9 32 32 55 21 31 65 65 
53 53 23 0 23 20 50 68 25 33 68 47 
33 33 9 23 0 37 41 64 30 39 75 68 
70 70 32 20 37 0 45 58 18 19 51 32 
65 65 32 50 41 45 0 23 27 28 45 73 
89 89 55 68 64 58 23 0 43 38 31 79 
63 63 21 25 30 18 27 43 0 9 45 48 
72 72 31 33 39 19 28 38 9 0 36 45 
106 106 65 68 75 51 45 31 45 36 0 58 
100 100 65 47 68 32 73 79 48 45 58 0 
